SL,CATEGORY,Brand,TYPE/FLAVOUR,ORIGINE,SKU,PACK TYPE,CODE,VERSION,DATE,BARCODE,CYLINDER COMPANY,PRINTING COMPANY,,,,,,,,,
7,GRAINS,AAFI,PUFFED RICE,EXPORT,200G,PILLOW,EAFRQBX,EAFRQBXV3,2024-01-08,89411896 03076,,,,,,,,,,,
8,GRAINS,AAFI,PUFFED RICE,EXPORT,400G,PILLOW,EAFRHBX,EAFRHBXV3,2024-01-08,89411896 03069,,,,,,,,,,,
9,GRAINS,AAFI,PUFFED RICE,EXPORT,500G,PILLOW,EAFRHB,EAFRHBV3,2024-01-08,89411896 02826,,,,,,,,,,,
9,DAIRY,FARM FRESH,SWEETENED YOGURT (CURD),LOCAL,40G,CUP,FFYSW48,FFYSW40V1,,89411896 04776,,,,,,,,,,,
9,DAIRY,FARM FRESH,SWEETENED YOGURT (CURD),LOCAL,40G,CLUSTER,FYSW-50/8,FYSW40X8V1,,89411896 04790,,,,,,,,,,,
9,DAIRY,FARM FRESH,POWDER MILK,LOCAL,18G,PILLOW,FFIPMT,FFIPMTV01,,89411896 0540,,,,,,,,,,,
9,DAIRY,FARM FRESH,POWDER MILK,LOCAL,50G,PILLOW,FFIPMS,FFIPMSV01,,89411896 0489,,,,,,,,,,,
9,DRINKING WATER,SPA,SODA LIME,LOCAL,500ML,PET,,SPSL5V00,,89411896 0398,,,,,,,,,,,
9,DRINKING WATER,SPA,SODA WATER,LOCAL,500ML,PET,,SPSW5V00,,89411896 0400,,,,,,,,,,,
9,DAIRY,FARM FRESH,POWDER MILK,LOCAL,100G,PILLOW,FFIPM100,FFIPM100V01,,89411896 0490,,,,,,,,,,,
9,DAIRY,FARM FRESH,POWDER MILK,LOCAL,200G,PILLOW,FFIPMQ,FFIPMQV01,,89411896 0491,,,,,,,,,,,
9,DAIRY,FARM FRESH,POWDER MILK,COMMON,400G,PILLOW,FFIPM400,FFIPM400PV01,,89411896 0492,,,,,,,,,,,
9,DAIRY,FARM FRESH,POWDER MILK,LOCAL,400G,BOX,FFIPM400,FFIPM400V2,2024-05-28,89411896 0492,,,,,,,,,,,
9,DAIRY,FARM FRESH,POWDER MILK,LOCAL,500G,PILLOW,FFIPMH,FFIPMHV01,,89411896 04936,,,,,,,,,,,
9,DAIRY,FARM FRESH,POWDER MILK,LOCAL,1000G,PILLOW,FFIPMO,FFIPMOV2,2024-07-04,89411896 04967,BANGLA-SHANGHAI PLATE MAKING LTD.,TAMPACO FOILS LTD,,,,,,,,,
9,DAIRY,DAILY MILK,POWDER MILK,LOCAL,13G,PILLOW,DMP15,DMP15V01,,89411896 0524,,,,,,,,,,,
9,DAIRY,DAILY MILK,POWDER MILK,LOCAL,250G,PILLOW,DMP250,DMP250V01,2025-03-03,89411896 05254,,,,,,,,,,,
9,DAIRY,DAILY MILK,POWDER MILK,COMMON,400G,PILLOW,DMP400,DMP400PV01,,89411896 0526,,,,,,,,,,,
9,DAIRY,DAILY MILK,POWDER MILK,LOCAL,400G,BOX,DMP400,DMP400V01,,89411896 0526,,,,,,,,,,,
9,DAIRY,DAILY MILK,POWDER MILK,LOCAL,500G,PILLOW,DMP500,DMP500V02,,89411896 0527,,,,,,,,,,,
9,DAIRY,DAILY MILK,POWDER MILK,LOCAL,1000G,PILLOW,DMP1000,DMP1000V2,2024-09-15,89411896 05414,,,,,,,,,,,
9,DAIRY,DAILY MILK,POWDER MILK,LOCAL,2000G,PILLOW,DMP2000,DMP2000V2,2024-09-15,89411896 05421,,,,,,,,,,,
9,DAIRY,DAILY MILK,POWDER MILK,LOCAL,25000G,BAG,DMP25KG,DMP25KV00,,89411896 05438,,,,,,,,,,,
9,DAIRY,MILK LAND,POWDER MILK,LOCAL,200G,PILLOW,MLP200,MLP200V01,,89411896 0528,,,,,,,,,,,
9,DAIRY,MILK LAND,POWDER MILK,LOCAL,500G,PILLOW,MLP500,MLP500V01,,89411896 0529,,,,,,,,,,,
9,DAIRY,FARM FRESH,MANGO YOGURT (CURD),LOCAL,50G,CUP,FYM-50/4,FYM-50/4V00,,89411896 0544,,,,,,,,,,,
9,DAIRY,FARM FRESH,MANGO YOGURT (CURD),LOCAL,50G,CLUSTER,FYM-50/8,FYM-50/8V00,,89411896 0545,,,,,,,,,,,
9,DAIRY,FARM FRESH,MANGO YOGURT (CURD),LOCAL,75G,CUP,FYM-80/4,FYM-80/4V00,,89411896 0546,,,,,,,,,,,
9,DAIRY,FARM FRESH,MANGO YOGURT (CURD),LOCAL,75G,CLUSTER,FYM-80/8,FYM-80/8V00,,89411896 0547,,,,,,,,,,,
9,DAIRY,FARM FRESH,STRAWBERRY YOGURT (CURD),LOCAL,50G,CUP,FYSt-50/4,FYSt-50/4V00,,89411896 0530,,,,,,,,,,,
9,DAIRY,FARM FRESH,STRAWBERRY YOGURT (CURD),LOCAL,50G,CLUSTER,FYSt-50/8,FYSt-50/8V00,,89411896 0531,,,,,,,,,,,
9,DAIRY,FARM FRESH,STRAWBERRY YOGURT (CURD),LOCAL,75G,CUP,FYSt-80/4,FYSt-80/4V00,,89411896 0532,,,,,,,,,,,
9,DAIRY,FARM FRESH,STRAWBERRY YOGURT (CURD),LOCAL,75G,CLUSTER,FYSt-80/8,FYSt-80/8V00,,89411896 0533,,,,,,,,,,,
9,DRINKING WATER,AKIJ,DRINK WATER,LOCAL,500ML,PET,,APDW5V00,,89411896 0308,,,,,,,,,,,
9,BAKERY,AAFI,SWEET TOAST,INDIA,320G,PILLOW,,ASTIND320V00,,89411896 0201,,,,,,,,,,,
9,BAKERY,AAFI,SWEET TOAST,INDIA,200G,PILLOW,,ASTIND200V00,,89411896 0195,,,,,,,,,,,
9,BAKERY,AAFI,SWEET TOAST,INDIA,120G,PILLOW,,ASRIND120V00,,89411896 0200,,,,,,,,,,,
9,BAKERY,AAFI,BABY TOAST,INDIA,120G,PILLOW,,ABRIND120V00,,89411896 0198,,,,,,,,,,,
9,BAKERY,AAFI,DRY CAKE,INDIA,120G,BOX,,ADCIND120V01,,89411896 02024,,,,,,,,,,,
9,SNACKS,AAFI,MANGO BAR,LOCAL,15G,FOIL,AMB,AMBF15V01,,89411896 07111,,,,,,,,,,,
9,SNACKS,AAFI,Mango Bar (Paper Box/Ploy),COMMON,15G,POLY,,AMBP15V01,,89411896 0713,,,,,,,,,,,
9,SNACKS,AAFI,MANGO BAR (JAR),LOCAL,15G,PLASTIC JAR,AMBJ,AMBJ15V01,,89411896 07142,,,,,,,,,,,
9,SNACKS,AAFI,Mango Bar (Foil),LOCAL,10G,FOIL,,AMBF10V01,,89411896 0770,,,,,,,,,,,
9,SNACKS,AAFI,Mango Bar (Paper Box/Ploy),COMMON,10G,POLY,,AMBP1V01,,89411896 0772,,,,,,,,,,,
9,SNACKS,AAFI,Mango Bar (Jar),LOCAL,10G,PLASTIC JAR,AMBJS,AMBJSV01,,89411896 0773,,,,,,,,,,,
9,BAKERY,AAFI,SWEET TOAST,LOCAL,250G,PILLOW,,ASTLOC250V00,,89411896 0201,,,,,,,,,,,
9,BAKERY,AAFI,GHEE TOAST,LOCAL,250G,PILLOW,,AGTLOC250V00,,89411896 0194,,,,,,,,,,,
